time	CEBPA	SOX9	TGFB1	TGFBR2	case
day_0	10.44774031	11.17984842	7.935862456	11.82898907	negative
day_0	9.940915461	11.64309361	7.836481138	12.09320451	negative
day_0	10.21021606	12.42501342	6.772188427	10.89869094	negative
day_0	9.984288401	11.40579038	8.450955763	11.50373371	negative
day_3	10.44279494	11.09149492	8.836669338	11.36203196	negative
day_3	9.528215664	11.72410237	7.041727597	12.72136977	negative
day_3	10.50585045	7.587110272	7.94977425	11.66100889	negative
day_3	10.80728259	8.490303387	10.63263749	11.34293321	negative
day_7	10.1750644	10.72827489	8.095437509	11.81595551	negative
day_7	10.68733616	11.74237728	7.235175258	11.33297926	negative
day_7	10.90143506	9.447845236	8.155042142	10.65277163	negative
day_7	10.7942855	8.372250421	8.836739108	10.71496106	negative
day_14	9.760727376	12.21058962	7.198573781	11.78145739	negative
day_14	9.596633932	10.52840064	9.089942029	11.5130431	negative
day_14	10.46443013	9.767161067	8.513418121	11.3648661	negative
day_0	10.44774031	11.17984842	7.935862456	11.82898907	positive
day_0	9.940915461	11.64309361	7.836481138	12.09320451	positive
day_0	10.21021606	12.42501342	6.772188427	10.89869094	positive
day_0	9.984288401	11.40579038	8.450955763	11.50373371	positive
day_3	11.78514073	14.01894369	9.042438148	8.580367116	positive
day_3	10.93172602	9.528806014	8.785382292	11.5980509	positive
day_3	10.25309954	12.90225162	8.520851471	10.6587565	positive
day_3	13.96341597	12.95021076	8.950840621	10.20795697	positive
day_7	10.28658504	13.84222918	6.664911717	9.400937225	positive
day_7	10.53304985	12.2345553	7.152150005	11.40740293	positive
day_7	12.17747588	12.03398516	8.617697676	11.28319525	positive
day_7	12.32024654	11.57364569	9.018770468	11.27943862	positive
day_14	10.40308363	13.94826922	7.134383596	11.45556626	positive
day_14	10.91172658	13.45978119	8.931472506	10.63627596	positive
day_14	11.38259549	14.19040877	7.177336356	9.729839086	positive
