time	CEBPA	SOX9	TGFB1	TGFBR2
day_0	10.44774031	11.17984842	7.935862456	11.82898907
day_0	9.940915461	11.64309361	7.836481138	12.09320451
day_0	10.21021606	12.42501342	6.772188427	10.89869094
day_0	9.984288401	11.40579038	8.450955763	11.50373371
day_3	10.44279494	11.09149492	8.836669338	11.36203196
day_3	9.528215664	11.72410237	7.041727597	12.72136977
day_3	10.50585045	7.587110272	7.94977425	11.66100889
day_3	10.80728259	8.490303387	10.63263749	11.34293321
day_7	10.1750644	10.72827489	8.095437509	11.81595551
day_7	10.68733616	11.74237728	7.235175258	11.33297926
day_7	10.90143506	9.447845236	8.155042142	10.65277163
day_7	10.7942855	8.372250421	8.836739108	10.71496106
day_14	9.760727376	12.21058962	7.198573781	11.78145739
day_14	9.596633932	10.52840064	9.089942029	11.5130431
day_14	10.46443013	9.767161067	8.513418121	11.3648661
