time	CEBPA	SOX9	TGFB1	TGFBR2
day_0	10.44774031	11.17984842	7.935862456	11.82898907
day_0	9.940915461	11.64309361	7.836481138	12.09320451
day_0	10.21021606	12.42501342	6.772188427	10.89869094
day_0	9.984288401	11.40579038	8.450955763	11.50373371
day_3	11.78514073	14.01894369	9.042438148	8.580367116
day_3	10.93172602	9.528806014	8.785382292	11.5980509
day_3	10.25309954	12.90225162	8.520851471	10.6587565
day_3	13.96341597	12.95021076	8.950840621	10.20795697
day_7	10.28658504	13.84222918	6.664911717	9.400937225
day_7	10.53304985	12.2345553	7.152150005	11.40740293
day_7	12.17747588	12.03398516	8.617697676	11.28319525
day_7	12.32024654	11.57364569	9.018770468	11.27943862
day_14	10.40308363	13.94826922	7.134383596	11.45556626
day_14	10.91172658	13.45978119	8.931472506	10.63627596
day_14	11.38259549	14.19040877	7.177336356	9.729839086
