cell_type	HNF1B	SOX9	DLK1	GRHL2	SNAI2	EPCAM	ZEB1	VIM	JAG1	HNF4A	SNAI1	ALB	HNF1A	TACSTD2	TGFB1	CEBPA	CDH1	TGFBR2	HIF1A
hepatocyte	3.327687364	2.59454855	0	0.422233001	1.137503524	3.324810603	2.307428525	5.442611804	1.084064265	7.751744884	0.790772038	14.86050409	3.139142019	0.545968369	2.819668183	7.826802684	6.00495076	5.132165525	4.958378712
oval_cells_B	7.154514352	6.746043983	0	4.684257705	0.815575429	9.007447816	2.111031312	5.878234879	5.718909554	5.868637384	1.327687364	11.6412028	2.963474124	5.514753498	3.750606505	6.450221496	9.062046138	5.341274184	5.059182199
oval_cells_H	7.274541226	6.130313146	0	0.839959587	1.516015147	6.372778017	3.818646083	7.972003304	6.304511042	7.255972742	0.042644337	11.62235845	3.211012193	1.189033824	3.691534165	6.67793101	8.453023647	5.462379572	5.141596278
oval_cells_B	7.457134594	6.269033146	0.014355293	4.39848719	0.748461233	9.059831136	2.553360503	6.228433921	6.190219764	6.229587923	0.604071324	10.99074218	3.030336078	5.363871925	3.232660757	6.402756279	9.036695636	5.346602375	5.233044401
oval_cells_H	7.26190686	6.498091269	0.042644337	0.879705766	1.137503524	5.950001749	3.615887074	7.848685529	6.133193599	7.075746538	0.163498732	12.73370811	3.323370069	1.244887059	3.714795011	7.336818943	8.370600232	5.474436043	5.219942914
oval_cells_B	7.511199185	6.771753554	0	4.788163657	0.584962501	8.97137111	2.211012193	5.91981677	6.361943774	5.961391812	1.207892852	11.48604057	2.952333566	5.123500664	3.35614381	6.432291338	9.021091018	5.302319051	4.303780748
oval_cells_H	7.42785755	6.523718762	0	0.411426246	1.526068812	6.223229457	3.711494907	7.721646078	6.133399125	7.298933193	0.150559677	12.17225247	3.039138394	0.516015147	3.869871406	6.193968819	8.66288196	5.357903839	4.326968712
oval_cells_B	7.544500842	6.260590275	0.014355293	4.669593751	0.475084883	9.307974897	1.891419187	4.351910961	6.125981654	5.799087306	0.378511623	11.57700861	2.855989697	5.739848103	3.042644337	5.907852072	9.212812491	5.361066489	4.421559945
hepatocyte	3.777156666	2.639232163	0.014355293	0.014355293	2.666756592	0.773996325	2.528571319	3.283921772	1.056583528	7.962144105	0.028569152	15.03970432	3.711494907	0	0.799087306	7.558191088	6.798569004	5.522620761	4.327687364
oval_cells_H	7.44625623	6.76008785	0	0.545968369	1.232660757	6.225352061	3.835924074	7.701410436	6.152589069	7.017476563	0.137503524	11.85593132	3.058316496	0.847996907	4.123500664	6.0217018	8.606109055	5.14404637	5.161081482
hepatocyte	3.904002316	3.075532631	0.028569152	0.056583528	2.201633861	0.839959587	2.604071324	3.910732662	1.704871964	7.937108946	0.056583528	14.92236605	3.952333566	0.056583528	0.98550043	7.679761574	6.553053253	5.428276414	5.21218021
oval_cells_H	7.174026838	6.733354341	0	1.839959587	1.195347598	7.100977648	3.806324057	7.329841177	6.540244302	6.351734323	0.111031312	12.28387548	2.959770155	1.541019153	3.757023247	5.967168608	8.703142239	5.334139179	5.176721693
oval_cells_B	7.642701572	7.203494835	0.042644337	4.827819025	0.23878686	9.098663782	1.871843649	4.263034406	6.852123719	5.500164679	0.807354922	11.65119972	2.90303827	4.558879853	3.27351589	6.081510068	9.229780167	5.111448698	5.032100843
hepatocyte	3.658782734	3.892391026	0.014355293	0.042644337	1.86393845	0.98550043	2.650764559	2.482848283	1.13093087	7.901108243	0.263034406	15.5491764	3.885574364	0.028569152	0.847996907	7.389050488	6.617357262	4.95373085	5.063934306
