time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
11.5	1.535420718	0	1.305136319	1.365300749	0
11.5	0.982723388	0	1.356025857	1.000434077	0
12.5	1.803320524	0	0.723455672	1.3872118	0
12.5	2.263470366	0	0.923244019	1.224791956	0
12.5	2.219505937	0	1.026941628	1.556664262	0
12.5	2.156185573	0	0	1.316808752	0
12.5	2.426966463	0	0	0	1.768045814
12.5	2.047664195	0	1.136403448	1.82911071	0
12.5	1.950559562	0	1.60906055	1.34849957	0.093421685
12.5	2.608558123	0	1.316389751	0	1.605412798
12.5	2.556905269	0	1.651859269	1.65069598	0
12.5	1.558228422	0	1.124830149	1.230448921	0
12.5	2.727655102	0	1.084576278	0	0
12.5	2.519407929	0	1.350635608	0	0.706717782
12.5	2.086573366	0	0.798650645	1.684216795	1.210853365
12.5	2.150357258	0	1.035429738	0	1.08350262
12.5	2.627601377	0	0	2.015694989	0
12.5	2.609743772	0	0	1.845160078	0
12.5	0.57634135	0	0	1.654272827	0
12.5	1.606273853	0	1.180412633	1.058426024	0
12.5	2.256477206	0	1.270212855	1.667172672	0
12.5	0.720159303	0	1.129367596	1.690107439	0
12.5	2.34580487	0	0.854306042	1.440121603	0
12.5	2.386106407	0	1.225050696	0	0
12.5	2.803859812	0	0	0	0
12.5	0.133538908	0	0.875639937	0.741151599	0
12.5	0	0	0.815577748	1.064457989	0.201397124
12.5	0	0	0.966141733	0.988558957	0
12.5	0	0	0	1.156851901	0
12.5	0	0	0.380211242	1.445292769	0
12.5	0.113943352	0	0.843855423	0	0
12.5	1.599773939	0.536558443	1.246005904	0	1.41447195
12.5	1.058426024	0	1.05804623	0.912222057	0
12.5	0.906873535	0	1.387567779	1.029789471	0
12.5	0	0	0.758154622	0	0
12.5	1.369030222	0	1.264581729	1.810770011	0
12.5	1.171433901	0	1.184407485	1.044147621	0
12.5	1.218535505	0	0.978636948	0	0
12.5	1.314920056	0.783188691	1.804412059	0.181843588	0
12.5	2.42772948	0	0	0	0
12.5	2.58067413	0	0	0	0
12.5	2.413232686	0	0.606381365	0	0.996073654
12.5	2.565269161	0	0	0.437750563	0
12.5	2.201096565	0	1.36604921	0	0
12.5	2.496029699	0	0	0	0
12.5	2.430913151	0	0	0	1.144574208
12.5	2.365656429	0	0	0	1.093771781
12.5	3.003843817	0	1.316389751	0	0
12.5	2.074779882	0	0	0	1.202215776
12.5	2.284430734	0	0	0	0
12.5	1.605089462	0	0	0	0.712649702
12.5	1.59439255	0.222716471	0.948901761	1.244277121	0
12.5	1.619406411	0.23299611	0.871572936	1.281941933	0
12.5	1.808683509	0	1.526210004	1.029789471	1.222456337
12.5	1.320769228	0.283301229	0.850646235	1.250175948	0.08278537
12.5	1.104828404	0.201397124	1.379124146	1.101403351	0
12.5	1.408239965	0.499687083	1.685024785	0	1.928395852
12.5	2.081347308	0.190331698	1.538322333	0	0
12.5	0.563481085	0.212187604	1.805024844	0	0
12.5	0	0	1.042969073	1.131618664	0
12.5	2.078311787	0	0	0	0
12.5	1.164352856	0	1.585122186	1.091666958	0
12.5	1.002597981	0.409933123	1.768416088	0.46834733	0
12.5	1.665674781	0	1.289811839	1.303196057	0.788168371
12.5	1.914713287	0	1.370142847	1.211921084	1.182129214
12.5	1.388811413	0.247973266	1.369030222	1.175511813	0.583198774
12.5	1.514414921	0.230448921	1.282168778	1.220631019	0
12.5	1.36267093	0.397940009	1.756940236	0	1.801815169
12.5	2.000824377	0	1.371437317	0.206825876	0
12.5	1.976212377	0	1.621695462	0.703291378	0
12.5	0.62838893	0.686636269	1.329194415	0.936513742	0
13.5	2.579954995	0	0.629409599	1.108565024	0
13.5	2.255658373	0	0	1.357744325	0
13.5	1.531861949	0	0	1.594060901	0
13.5	1.957032316	0	1.546048866	1.376029182	0
13.5	1.346157302	0	1.144262774	1.007320953	0.953759692
13.5	2.417538119	0	1.258637283	1.082066934	0
13.5	2.470469295	0	1.686278678	0	0
13.5	1.88570038	0	0	1.159567193	0
13.5	1.922621672	0	1.332236415	0.980003372	0
13.5	2.069186925	0	1.575649615	1.242292905	0
14.5	0	0	0.91750551	0.759667845	0
14.5	0	0	1.192567453	1.083144143	0
14.5	0	0	0	1.428458774	0
14.5	0	0	1.303627976	1.493876111	0
14.5	0.11058971	0	0	1.495266744	0
14.5	0	0	1.395151592	1.195068996	0
14.5	0	0	1.200303183	0.716003344	0
14.5	0	0	1.581494542	1.431363764	0
14.5	2.583436834	0	0.127104798	0	0
14.5	2.16124818	0	1.40363519	0.992995098	0
14.5	1.771366971	0	1.073351702	0	0.84260924
14.5	2.190611798	0	1.186956335	0	0
14.5	2.040285799	0	0.583198774	0	1.214313897
14.5	1.812579155	0	0	0	0
14.5	2.371732655	0	1.324488233	0	0
14.5	1.69565676	0.88422877	0	0	1.133538908
14.5	1.995196292	0	1.29578694	0	0
15.5	0	0	0.904174368	1.668106238	0
15.5	0	0	1.021602716	1.506640306	0
15.5	0	0	0.758911892	1.123851641	0
15.5	0	0	1.019946682	1.280805928	0
15.5	0	0	1.494293769	1.652246341	0
15.5	0	0	1.517855419	0.948901761	0
15.5	0	0	1.3586961	1.609380944	0
15.5	0	0	1.463892989	0	0
15.5	0	0	1.321184027	1.157758886	0
15.5	0	0	0	0.988558957	0
15.5	0	0	1.429106008	1.64630568	0
15.5	0	0	1.068927612	0.184691431	0
15.5	0	0	1.246498581	0.399673721	0
15.5	0	0	1.282395505	1.312811826	0
15.5	0	0	0.830588669	1.45591024	0
15.5	0	0	0	0.725911632	0
15.5	0	0	1.250175948	0	0
15.5	0	0	1.602059991	1.064457989	0
15.5	0	0	1.33725954	0	0
15.5	0.113943352	0	0.100370545	0.880241776	0
15.5	0	0	1.424391554	1.002597981	0
15.5	0	0	0.733197265	1.305781151	0
15.5	0.136720567	0	1.57205799	1.232233521	0.62324929
15.5	0.130333768	0	0.994317153	1.286231854	0
15.5	0.133538908	0	1.27485032	1.452706227	0
15.5	1.084218687	0	1.215108581	1.208441356	0
15.5	0	0.419955748	0.979092901	0.371067862	0
15.5	0	0	0.511883361	1.80827851	0
15.5	0	0	1.156851901	0.918030337	0
15.5	0.350248018	0	1.118264726	1.628082261	0
15.5	0	0	1.489395922	1.096562438	0
15.5	2.737645791	0	0	0	0
15.5	2.481127185	0	1.351603072	1.18582536	0
15.5	2.739160796	0	0.764922985	0	0
15.5	2.575638076	0	1.254064453	0	0
15.5	2.3748766	0	0	0	0
17.5	0	0	0.880813592	0.862131379	0
17.5	0	0	0	1.888123307	0
17.5	0	0	0.369215857	1.581835924	0
17.5	0	0	0.989449818	1.320146286	0
17.5	0.522444234	0	1.020775488	1.29710365	0
17.5	0	0	1.095169351	1.45331834	0
17.5	0	0	0	1.632963168	0
17.5	1.326335861	0	0	1.562887381	0
17.5	0	0	0.878521796	1.50609896	0
17.5	0.315970345	0	0.798650645	0.88592634	0
17.5	0	0	0.630427875	1.427161403	0
17.5	0	0	0.999565488	1.710455864	0
17.5	0	0	0.696356389	1.535167485	0
17.5	0.949877704	0	1.096562438	0.42975228	0
17.5	0	0	1.50174373	1.527887566	0
