Gene	Expression
Cebpa	0.97589114
Cebpa	1.80726436
Cebpa	1.34556976
Cebpa	1.54691264
Cebpa	1.02201574
Cebpa	1.34064238
Cebpa	1.24919836
Cebpa	1.17055506
Cebpa	1.41094586
Cebpa	0
Cebpa	1.84292112
Cebpa	1.39915433
Cebpa	1.61721009
Cebpa	1.57403127
Cebpa	1.02077549
Cebpa	1.54307424
Cebpa	1.16820275
Cebpa	1.04257551
Cebpa	1.38039216
Cebpa	0
Cebpa	0.62634037
Cebpa	1.48000694
Cebpa	1.3783979
Cebpa	0.32633586
Cebpa	0.70926996
Cebpa	0.89762709
Cebpa	0
Cebpa	1.06707086
Cebpa	1.07773118
Cebpa	1.34340859
Cebpa	1.83941519
Cebpa	0
Cebpa	1.4097641
Cebpa	1.45530177
Cebpa	1.54419211
Cebpa	0.73078228
Cebpa	1.65886959
Cebpa	1.2583978
Cebpa	0.37657696
Cebpa	1.02530587
Cebpa	1.46224822
Cebpa	1.55834851
Cebpa	1.31196566
Cebpa	0
Cebpa	1.64571694
Cebpa	1.27623196
Cebpa	0.72591163
Cebpa	1.26221371
Cebpa	1.4817292
Cebpa	1.43104195
Cebpa	1.55726653
Cebpa	1.25959388
Cebpa	1.4407517
Cebpa	1.221675
Cebpa	1.4456042
Cebpa	1.42667389
Cebpa	1.01535976
Cebpa	1.53453376
Cebpa	1.67715052
Cebpa	1.21827285
Cebpa	1.16196662
Cebpa	1.21404868
Cebpa	0.89652622
Cebpa	0.95230801
Cebpa	0.91222206
Cebpa	1.23653726
Cebpa	1.05153839
Cebpa	1.26481782
Cebpa	1.28891961
Cebpa	1.42471834
Cebpa	1.5834255
Cebpa	1.12057393
Cebpa	1.09968064
Cebpa	1.32572086
Cebpa	1.45909079
Cebpa	1.45621416
Cebpa	0.94448267
Cebpa	1.29446623
Cebpa	1.18836593
Cebpa	0
Cebpa	1.48713838
Cebpa	1.20384846
Cebpa	1.31217736
Cebpa	1.12254352
Cebpa	1.13257985
Cebpa	0.7411516
Cebpa	0.23552845
Cebpa	0
Cebpa	1.26316246
Cebpa	1.07809415
Cebpa	1.68502479
Cebpa	1.60508946
Cebpa	0.76937733
Cebpa	1.38542751
Cebpa	1.01619735
Cebpa	0.79448805
Cebpa	1.49359745
Cebpa	0.98989456
Cebpa	1.72501273
Cebpa	1.21932251
Cebpa	0.79518459
Cebpa	1.35755372
Cebpa	1.50718098
Cebpa	1.20303289
Cebpa	1.00860017
Cebpa	1.36530075
Cebpa	0.50514998
Cebpa	1.03100428
Cebpa	1.10788803
Cebpa	1.71206014
Cebpa	1.05384643
Cebpa	1.43996394
Cebpa	1.00043408
Cebpa	1.2367891
Cebpa	0
Cebpa	1.28555731
Cebpa	0.43775056
Cebpa	1.12548127
Cebpa	1.22711508
Cebpa	0
Cebpa	1.14581771
Cebpa	1.17609126
Cebpa	1.64414305
Cebpa	1.48144263
Cebpa	1.43870053
Cebpa	0
Cebpa	0
Cebpa	1.45040309
Cebpa	1.03542974
Cebpa	1.41763774
Cebpa	1.49637605
Cebpa	1.10653085
Cebpa	0.82736927
Cebpa	1.10890313
Cebpa	1.36078269
Cebpa	1.23904909
Cebpa	0
Cebpa	0
Cebpa	0.99033885
Cebpa	0.23552845
Cebpa	0.95375969
Cebpa	1.2664669
Cebpa	0.98721923
Cebpa	0.89265103
Cebpa	1.05422991
Cebpa	1.12839927
Cebpa	1.52244423
Cebpa	0.89486966
Cebpa	1.62971533
Cebpa	0
Cebpa	1.15775889
Cebpa	1.41879829
Cebpa	1.38309693
Cebpa	1.09131516
Cebpa	1.28488171
Cebpa	1.17983893
Cebpa	0
Cebpa	0.88081359
Cebpa	1.16849748
Cebpa	1.10448711
Cebpa	1.3872118
Cebpa	1.22479196
Cebpa	1.55666426
Cebpa	0.67669361
Cebpa	0
Cebpa	0.71011737
Cebpa	1.14395112
Cebpa	1.17868924
Cebpa	1.0534626
Cebpa	1.19700473
Cebpa	1.30963017
Cebpa	1.29247759
Cebpa	1.39880773
Cebpa	1.66190729
Cebpa	0.97818052
Cebpa	1.39480178
Cebpa	1.50379068
Cebpa	1.05956342
Cebpa	0.33445375
Cebpa	1.67191301
Cebpa	1.49748254
Cebpa	0
Cebpa	1.11193428
Cebpa	1.47957531
Cebpa	0.9360108
Cebpa	1.02816442
Cebpa	1.01619735
Cebpa	0.93901978
Cebpa	0.31386722
Cebpa	0
Cebpa	1.3767594
Cebpa	0.75358306
Cebpa	0.92168648
Cebpa	1.31386722
Cebpa	1.35160307
Cebpa	1.57852461
Cebpa	1.33364876
Cebpa	0.79795964
Cebpa	0.70415052
Cebpa	1.31428866
Cebpa	1.38255732
Cebpa	1.33102217
Cebpa	0.93449845
Cebpa	0
Cebpa	0
Cebpa	1.58365211
Cebpa	1.44326299
Cebpa	1.10856502
Cebpa	0
Cebpa	1.35774433
Cebpa	1.51759173
Cebpa	0
Cebpa	1.49150177
Cebpa	1.5940609
Cebpa	1.37602918
Cebpa	1.00732095
Cebpa	1.08206693
Cebpa	1.29688448
Cebpa	0
Cebpa	1.15956719
Cebpa	1.10551018
Cebpa	0.98000337
Cebpa	1.2422929
Cebpa	1.6009729
Cebpa	1.00216606
Cebpa	1.37529774
Cebpa	0.58092498
Cebpa	1.47683163
Cebpa	1.15472821
Cebpa	1.07664044
Cebpa	1.0136797
Cebpa	1.25454808
Cebpa	1.57345182
Cebpa	1.24870874
Cebpa	1.19228861
Cebpa	1.67888241
Cebpa	1.55303302
Cebpa	1.27067884
Cebpa	1.5865873
Cebpa	1.38129562
Cebpa	1.75747195
Cebpa	1.50528567
Cebpa	1.6361869
Cebpa	1.30297994
Cebpa	1.4073909
Cebpa	1.80427577
Cebpa	0
Cebpa	1.05499586
Cebpa	1.35063561
Cebpa	1.57065967
Cebpa	0.75966784
Cebpa	1.08314414
Cebpa	1.42845877
Cebpa	1.49387611
Cebpa	1.49526674
Cebpa	1.6642658
Cebpa	0.73719264
Cebpa	1.195069
Cebpa	0.71600334
Cebpa	1.43136376
Cebpa	1.380573
Cebpa	1.14612804
Cebpa	1.30706795
Cebpa	1.47943134
Cebpa	0
Cebpa	0
Cebpa	0.9929951
Cebpa	0
Cebpa	1.30362798
Cebpa	1.60292771
Cebpa	0.18752072
Cebpa	1.37857958
Cebpa	1.52335621
Cebpa	1.77590158
Cebpa	1.13385813
Cebpa	1.62930764
Cebpa	1.01953168
Cebpa	1.49317912
Cebpa	1.43088095
Cebpa	0
Cebpa	1.02489596
Cebpa	0.34635297
Cebpa	1.4295908
Cebpa	1.04960561
Cebpa	1.66866542
Cebpa	1.33865567
Cebpa	0.86272753
Cebpa	1.52840244
Cebpa	0
Cebpa	1.40174508
Cebpa	0
Cebpa	1.50947135
Cebpa	1.66238002
Cebpa	1.71667098
Cebpa	1.35793485
Cebpa	1.35044186
Cebpa	0.90471555
Cebpa	0
Cebpa	1.29819787
