Gene	Expression
Cebpa	1.365300749
Cebpa	1.000434077
Cebpa	1.3872118
Cebpa	1.224791956
Cebpa	1.556664262
Cebpa	1.108565024
Cebpa	1.357744325
Cebpa	1.594060901
Cebpa	1.376029182
Cebpa	1.007320953
Cebpa	1.082066934
Cebpa	0
Cebpa	1.159567193
Cebpa	0.980003372
Cebpa	1.242292905
Cebpa	0.759667845
Cebpa	1.083144143
Cebpa	1.428458774
Cebpa	1.493876111
Cebpa	1.495266744
Cebpa	1.195068996
Cebpa	0.716003344
Cebpa	1.431363764
Cebpa	0
Cebpa	0.992995098
Cebpa	1.668106238
Cebpa	1.506640306
Cebpa	1.123851641
Cebpa	1.280805928
Cebpa	1.652246341
Cebpa	0.948901761
Cebpa	1.609380944
Cebpa	0
Cebpa	1.157758886
Cebpa	0.988558957
Cebpa	1.64630568
Cebpa	0.184691431
Cebpa	0.399673721
Cebpa	1.312811826
Cebpa	1.45591024
Cebpa	0.725911632
Cebpa	0
Cebpa	1.064457989
Cebpa	0
Cebpa	0.880241776
Cebpa	1.002597981
Cebpa	1.305781151
Cebpa	1.232233521
Cebpa	1.286231854
Cebpa	1.452706227
Cebpa	1.208441356
Cebpa	0.371067862
Cebpa	1.80827851
Cebpa	0.918030337
Cebpa	1.628082261
Cebpa	1.096562438
Cebpa	0
Cebpa	1.18582536
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.862131379
Cebpa	1.888123307
Cebpa	1.581835924
Cebpa	1.320146286
Cebpa	1.29710365
Cebpa	1.45331834
Cebpa	1.632963168
Cebpa	1.562887381
Cebpa	1.50609896
Cebpa	0.88592634
Cebpa	1.427161403
Cebpa	1.710455864
Cebpa	1.535167485
Cebpa	0.42975228
Cebpa	1.527887566
Cebpa	1.179551791
Cebpa	0.551449998
Cebpa	0
Cebpa	1.468051791
Cebpa	1.146438135
Cebpa	1.40363519
Cebpa	1.194236749
Cebpa	1.373095987
Cebpa	1.360971884
Cebpa	1.144885418
Cebpa	1.518777069
Cebpa	1.748653093
Cebpa	1.662096445
Cebpa	1.11991541
Cebpa	1.121559844
Cebpa	1.370698093
Cebpa	1.540829814
Cebpa	0
Cebpa	0
Cebpa	1.316808752
Cebpa	0
Cebpa	1.82911071
Cebpa	1.34849957
Cebpa	0
Cebpa	1.65069598
Cebpa	1.230448921
Cebpa	0
Cebpa	0
Cebpa	1.684216795
Cebpa	0
Cebpa	2.015694989
Cebpa	1.845160078
Cebpa	1.654272827
Cebpa	1.058426024
Cebpa	1.667172672
Cebpa	1.690107439
Cebpa	1.440121603
Cebpa	0
Cebpa	0
Cebpa	0.741151599
Cebpa	1.064457989
Cebpa	0.988558957
Cebpa	1.156851901
Cebpa	1.445292769
Cebpa	0
Cebpa	0
Cebpa	0.912222057
Cebpa	1.029789471
Cebpa	0
Cebpa	1.810770011
Cebpa	1.044147621
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.181843588
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0.437750563
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.244277121
Cebpa	1.281941933
Cebpa	1.029789471
Cebpa	1.250175948
Cebpa	1.101403351
Cebpa	0
Cebpa	0
Cebpa	0
Cebpa	1.131618664
Cebpa	0
Cebpa	1.091666958
Cebpa	0.46834733
Cebpa	1.303196057
Cebpa	1.211921084
Cebpa	1.175511813
Cebpa	1.220631019
