Candidate,Sample_Set,Fraction_of_cases,Error
hep,Control,0.441570751,0.006592668
sox9_hep,Control,0.063725397,0.004165504
chol,Control,0.311407671,0.003176108
blast,Control,0.183296181,0.002536107
hep,sox9_OE,0.292598167,0.003668102
sox9_hep,sox9_OE,0.221274424,0.003386084
chol,sox9_OE,0.457772529,0.006345265
blast,sox9_OE,0.028354879,0.002075362
hep,sox9_DE,0.515899936,0.004570753
sox9_hep,sox9_DE,0.019518652,0.001145095
chol,sox9_DE,0.115771913,0.001298899
blast,sox9_DE,0.348809498,0.005891208
