Gene	Expression
Cebpa	0.975891136
Cebpa	1.807264355
Cebpa	1.345569756
Cebpa	1.546912643
Cebpa	1.02201574
Cebpa	1.340642378
Cebpa	1.249198357
Cebpa	1.170555059
Cebpa	1.410945859
Cebpa	0
Cebpa	1.842921121
Cebpa	1.399154334
Cebpa	1.617210095
Cebpa	1.574031268
Cebpa	1.020775488
Cebpa	1.543074235
Cebpa	1.168202747
Cebpa	1.042575512
Cebpa	1.38039216
Cebpa	0
Cebpa	0.626340367
Cebpa	1.480006943
Cebpa	1.378397901
Cebpa	0.326335861
Cebpa	0.709269961
Cebpa	0.897627091
Cebpa	0
Cebpa	1.067070856
Cebpa	1.07773118
Cebpa	1.343408594
Cebpa	1.839415193
Cebpa	0
Cebpa	1.409764104
Cebpa	1.455301772
Cebpa	1.544192111
Cebpa	0.730782276
Cebpa	1.658869592
Cebpa	1.258397804
Cebpa	0.376576957
Cebpa	1.025305865
Cebpa	1.462248215
Cebpa	1.558348509
Cebpa	1.31196566
Cebpa	0
Cebpa	1.645716939
Cebpa	1.276231958
Cebpa	0.725911632
Cebpa	1.262213705
Cebpa	1.481729197
Cebpa	1.431041945
Cebpa	1.557266529
Cebpa	1.259593879
Cebpa	1.4407517
Cebpa	1.221674997
Cebpa	1.445604203
Cebpa	1.426673888
Cebpa	1.015359755
Cebpa	1.534533756
Cebpa	1.677150521
Cebpa	1.218272854
Cebpa	1.161966616
Cebpa	1.214048679
Cebpa	0.896526217
Cebpa	0.95230801
Cebpa	0.912222057
Cebpa	1.236537261
Cebpa	1.051538391
Cebpa	1.264817823
Cebpa	1.288919606
Cebpa	1.424718337
Cebpa	1.5834255
Cebpa	1.120573931
Cebpa	1.099680641
Cebpa	1.325720858
Cebpa	1.45909079
Cebpa	1.456214155
Cebpa	0.944482672
Cebpa	1.294466226
Cebpa	1.188365926
Cebpa	0
Cebpa	1.487138375
Cebpa	1.203848464
Cebpa	1.312177356
Cebpa	1.122543524
Cebpa	1.132579848
Cebpa	0.741151599
Cebpa	0.235528447
Cebpa	0
Cebpa	1.263162465
Cebpa	1.07809415
Cebpa	1.685024785
Cebpa	1.605089462
Cebpa	0.769377326
Cebpa	1.385427515
Cebpa	1.016197354
Cebpa	0.794488047
Cebpa	1.493597449
Cebpa	0.989894564
Cebpa	1.725012725
Cebpa	1.219322508
Cebpa	0.79518459
Cebpa	1.35755372
