time	Sox9	Tgfb1	Tgfbr2	Cebpa	Tgfb2
10.5	0	0	1.059941888	0.975891136	0
10.5	0.539076099	0	1.220369632	1.807264355	0
10.5	0	0	0	1.345569756	0
10.5	0	0	0	1.546912643	0
10.5	0	0	1.154728207	1.02201574	0
10.5	0.904715545	0	0.62324929	1.340642378	0
10.5	0	0	0	1.249198357	0
10.5	0	0	0.86923172	1.170555059	0
10.5	0	0	1.314709693	1.410945859	0
10.5	0.975431809	0	0.139879086	0	0
10.5	0.989004616	0	0	1.842921121	0
10.5	0	0	1.143951116	1.399154334	0
10.5	0	0	1.23578087	1.617210095	0
10.5	0	0	0	1.574031268	0
10.5	0	0	1.123524981	1.020775488	0
10.5	0.906873535	0	0	1.543074235	0.376576957
10.5	0.133538908	0	0	1.168202747	0
10.5	1.624797579	0.245512668	0.916453949	1.042575512	0
10.5	0.600972896	0.195899652	0.84135947	1.38039216	0
10.5	0.133538908	0	1.148910993	0	0
10.5	0.588831726	0	1.128076013	0.626340367	0
10.5	0	0	0.767155866	1.480006943	0
10.5	1.046495164	0	0	1.378397901	0
10.5	0	0	1.22297645	0.326335861	0
10.5	0	0	0	0.709269961	0
10.5	0.792391689	0	0.790988475	0.897627091	0
10.5	1.839163683	0	0	0	0
10.5	0	0	0	1.067070856	0
10.5	0	0	0.5132176	1.07773118	0
10.5	0	0	1.123524981	1.343408594	0
10.5	0	0	1.632558515	1.839415193	0
10.5	0	0	0.609594409	0	0
10.5	0	0	0	1.409764104	0
10.5	0	0	0	1.455301772	0
10.5	0.164352856	0	0	1.544192111	0
10.5	0	0	0.793790385	0.730782276	0
10.5	0	0	0	1.658869592	0
10.5	0	0	1.1752218	1.258397804	0
10.5	0.970811611	0	0	0.376576957	0
10.5	0	0	0.328379603	1.025305865	0
10.5	0.737192643	0	0.685741739	1.462248215	0
10.5	0	0	0	1.558348509	0
10.5	0	0	0	1.31196566	0
10.5	0.484299839	0	0	0	0
10.5	0	0	0.240549248	1.645716939	0
10.5	1.161667412	0	1.203032887	1.276231958	0
10.5	0	0	1.414639147	0.725911632	0
10.5	0	0	1.36567514	1.262213705	0
10.5	0.546542663	0	1.18723862	1.481729197	0
10.5	1.441538039	0	0.971739591	1.431041945	0
10.5	0	0	0	1.557266529	0
10.5	0	0	0.974971994	1.259593879	0
10.5	0.848189117	0	0.311753861	1.4407517	0
10.5	1.089198367	0	0	1.221674997	0
11.5	0	0.227886705	0.781036939	1.445604203	0
11.5	0	0	0.92890769	1.426673888	0
11.5	0	0	0	1.015359755	0
11.5	0	0	1.292699003	1.534533756	0
11.5	0.856124444	0	1.105169428	1.677150521	0
11.5	0	0	1.562768543	1.218272854	0
11.5	0.912753304	0	1.248953615	1.161966616	0
11.5	0	0	0.59439255	1.214048679	0
11.5	0.146128036	0	0	0.896526217	0
11.5	0.133538908	0	1.237292338	0.95230801	0
11.5	0	0	1.544192111	0.912222057	0
11.5	0.912753304	0	0.775974331	1.236537261	0
11.5	0	0	0.212187604	1.051538391	0
11.5	0	0	0.808210973	1.264817823	0
11.5	0	0	0.855519156	1.288919606	0
11.5	0.380211242	0	1.043755127	1.424718337	0
11.5	0	0	0	1.5834255	0.798650645
11.5	1.245759356	0	0	1.120573931	0.643452676
11.5	0	0	1.451172158	1.099680641	0
11.5	0	0	1.295127085	1.325720858	0
