Candidate,Sample_Set,Fraction_of_cases,Error
hep,Control,0.441570751,0.006592668
sox9_hep,Control,0.063725397,0.004165504
chol,Control,0.311407671,0.003176108
blast,Control,0.183296181,0.002536107
hep,c_wo_sa,0.440407243,0.00768927
sox9_hep,c_wo_sa,0.043893839,0.000672325
chol,c_wo_sa,0.319587186,0.003606578
blast,c_wo_sa,0.196111732,0.004360185
hep,t_wo_sa,0.380901554,0.001928702
sox9_hep,t_wo_sa,0.101072971,0.00425379
chol,t_wo_sa,0.34185648,0.00212539
blast,t_wo_sa,0.176168995,0.00595448
hep,s_wo_sa,0.404242384,0.001884443
sox9_hep,s_wo_sa,0.131577624,0.002381146
chol,s_wo_sa,0.424968392,0.002172519
blast,s_wo_sa,0.0392116,0.000189554
